Descriptor name,Description,,,,,,,,,,,,,,,,,,,,,,,,
Flag leaf angle at 7 DAA,Leaf angle is measured near the collar as the angle of attachment between the flag leaf blade and the main panicle axis (n=5). Recorded at 7 days after anthesis. Observed in wild species.,,,,,,,,,,,,,,,,,,,,,,,,
Flag leaf angle at reproductive,Leaf angle is measured near the collar as the angle of attachment between the flag leaf blade and the main panicle axis (n=5). Recorded after heading. Observed in cultivated species.,,,,,,,,,,,,,,,,,,,,,,,,
Internode color at reproductive,"Internode is the smooth, solid (when young), or hollow (when mature) part of the culm between two successive nodes. Color is examined at reproductive stage. Observed in all species.",,,,,,,,,,,,,,,,,,,,,,,,
Leaf angle,The angle of openness of the blade tip is measured against the culm on the leaf below the flag leaf. Recorded prior to heading. Observed in cultivated species.,,,,,,,,,,,,,,,,,,,,,,,,
Life cycle,The completeness of the plant growth in a growing season is observed. Recorded after one year. - Observed in wild species.,,,,,,,,,,,,,,,,,,,,,,,,
Ligule color at vegetative,"Ligule is the thin, upright, membranous structure attached to the base on the inside of the leaf blade. Color is examined at vegetative. Observed in cultivated species.",,,,,,,,,,,,,,,,,,,,,,,,
Ligule pubescence,Ligule pubescence is the presence of hairs on the ligule surface. Recorded at anthesis. Observed in wild species.,,,,,,,,,,,,,,,,,,,,,,,,
Ligule shape,"Ligule is the thin, upright, membranous structure attached to the base on the inside of the leaf blade. Shape is examined at late vegetative in cultivated species, and at anthesis in wild species.",,,,,,,,,,,,,,,,,,,,,,,,
Leaf length,Leaf length is measured in cm from the topmost blade below the flag leaf on the main culm (n=5). Transformed to coded data. Recorded at late vegetative stage.,,,,,,,,,,,,,,,,,,,,,,,,
Lemma and palea color at anthesis,Lemma is the five-nerved and outer bract of the floret. Palea is the three-nerved bract of the floret which fits the lemma. Color is examined at anthesis. Observed in wild species.,,,,,,,,,,,,,,,,,,,,,,,,
Lemma and palea color at post-harvest,Lemma is the five-nerved and outer bract of the floret. Palea is the three-nerved bract of the floret which fits the lemma. Color is examined at post-harvest. Observed in all species.,,,,,,,,,,,,,,,,,,,,,,,,
Lemma and palea pubescence,Lemma and palea pubescence is the presence of hairs on the hull surface. Recorded at post-harvest. Observed in cultivated species.,,,,,,,,,,,,,,,,,,,,,,,,
Leaf senescence,The leaves below the flagleaf are observed at the time of harvest for their retention of greenness. Observed in all species.,,,,,,,,,,,,,,,,,,,,,,,,
Leaf texture,Leaf texture is recorded at 75 days after germination. Observed in wild species.,,,,,,,,,,,,,,,,,,,,,,,,
Leaf width,Leaf width is measured in cm at the the widest portion of the blade on the leaf below the flag leaf (n=5). Recorded at late vegetative stage.,,,,,,,,,,,,,,,,,,,,,,,,
Node color,"Node is the solid portion of the culm, panicle axis, and panicle branches. Color is examined at reproductive stage. Observed in all species.",,,,,,,,,,,,,,,,,,,,,,,,
Panicle axis at reproductive,"Panicle axis is the main axis of the inflorescence, extending from the panicle base to the apex. Recorded at reproductive stage. Observed in all species (discontinued in wild species in 1992).",,,,,,,,,,,,,,,,,,,,,,,,
Texture of panicle axis at 7 DAA,Panicle axis is the main axis of the inflorescence extending from the panicle base to the apex. Texture is recorded at 7 days after anthesis. Observed in wild species.,,,,,,,,,,,,,,,,,,,,,,,,
Panicle exsertion at reproductive,Panicle exsertion is the insertion of the panicle above the flag leaf sheath. Recorded after anthesis. Observed in all species.,,,,,,,,,,,,,,,,,,,,,,,,
Panicle length,"Length of panicles (n=5) is measured in cm from the base to the tip of the panicle. Recorded at post-harvest for cultivated, at reproduction for wild species.",,,,,,,,,,,,,,,,,,,,,,,,
Population composition,The degree of homogeneity or heterogeneity of the sample. Observed in African cultivated.,,,,,,,,,,,,,,,,,,,,,,,,
Panicle shattering,Panicle shattering is the extent to which grains have shattered from the panicle at maturity. Observed in all species.,,,,,,,,,,,,,,,,,,,,,,,,
Panicle threshability,Panicle threshability is the extent of grain removal when matured panicle is grasped by hand and a slight rolling pressure is applied between the palm and the fingers. Recorded at harvest. Observed in all species.,,,,,,,,,,,,,,,,,,,,,,,,
Panicle type,"Panicles are classified according to their mode of branching, angle of primary branches and spikelet density. Recorded at reproductive stage. Observed in all species.",,,,,,,,,,,,,,,,,,,,,,,,
Rhizome/stolon formation,Rhizome and stolon formation is examined at harvest. Observed in wild species.,,,,,,,,,,,,,,,,,,,,,,,,
Seedling height,Seedlings at 5-leaf stage is measured in cm from the base of the shoot to the tip of the tallest leaf blade. Transformed to coded data. Observed in all species (discontinued in wild species in 1992).,,,,,,,,,,,,,,,,,,,,,,,,
Secondary branching at reproductive,Secondary branching bearing the spikelets is examined at reproductive stage. Observed in all species.,,,,,,,,,,,,,,,,,,,,,,,,
Seed coat color,Seed coat color is the color of dehulled grains. Examined at post-harvest. Observed in all species.,,,,,,,,,,,,,,,,,,,,,,,,
Sterile lemma color,Sterile lemmas are the two flowerless bracts at the base of the spikelet. Color is examined at reproductive stage. Observed in all species (discontinued in wild species in 1992).,,,,,,,,,,,,,,,,,,,,,,,,
Sterile lemma length,Sterile lemmas are the two flowerless bracts at the base of the spikelet. Length is measured in mm and made on each of the two sterile lemmas (n=10) at post-harvest. Observed in all species.,,,,,,,,,,,,,,,,,,,,,,,,
Sterile lemma shape,Sterile lemmas are the two flowerless bracts at the base of the spikelet. Shape is examined at post-harvest. Observed in wild species.,,,,,,,,,,,,,,,,,,,,,,,,
Spikelet fertility,Spikelet fertility measurement is taken from counts of well developed fertile spikelets in proportion to total number of spikelets on five panicles at harvest. Observed in all species.,,,,,,,,,,,,,,,,,,,,,,,,
Stigma color,Stigma is the pistil of a flower upon which the pollen is deposited during pollination. Color is examined at reproductive stage. Observed in all species.,,,,,,,,,,,,,,,,,,,,,,,,
Variety group,"Classification of accessions into variety groups is based mainly on the morphologic features of the adult plant, and to a certain extent, on grain appearance. Recorded at reproductive stage. Observed in Asian cultivated species.",,,,,,,,,,,,,,,,,,,,,,,,
Breeding system,Method of reproduction,,,,,,,,,,,,,,,,,,,,,,,,
Classification of O. sativa samples,"Classifies an O. sativa sample as traditional, improved or breeding line.",,,,,,,,,,,,,,,,,,,,,,,,
Collection source,Specific place where sample was collected.,,,,,,,,,,,,,,,,,,,,,,,,
Cultural type,Rice ecosystem.,,,,,,,,,,,,,,,,,,,,,,,,
Degree of introgression,Spread of genes of one species into the gene complex of another.,,,,,,,,,,,,,,,,,,,,,,,,
Distance to O. sativa field,Distance of collection site of wild species to the nearest O. sativa field,,,,,,,,,,,,,,,,,,,,,,,,
Drainage,Manner in which the waters pass off the surface of the land.,,,,,,,,,,,,,,,,,,,,,,,,
Ecological zone,Refers to the edaphic-climatic condition of the area.,,,,,,,,,,,,,,,,,,,,,,,,
Ecological system,Refers to the environment where the sample was collected.,,,,,,,,,,,,,,,,,,,,,,,,
Flowering compared to O. sativa,Time of flowering of collected wild species sample compared to O.sativa.,,,,,,,,,,,,,,,,,,,,,,,,
Frequency,Frequency of occurrence of species/variety collected in an area.,,,,,,,,,,,,,,,,,,,,,,,,
Growth stage,Growth stage of plant sampled during collection time.,,,,,,,,,,,,,,,,,,,,,,,,
Herbarium sample presence,Indicates whether an herbarium sample was taken or not,,,,,,,,,,,,,,,,,,,,,,,,
Population composition,The degree of homogeneity or heterogeneity of the sample.,,,,,,,,,,,,,,,,,,,,,,,,
Population fertility,General seed set in a population per unit area.,,,,,,,,,,,,,,,,,,,,,,,,
Ratoon,Presence of tillers from nodes,,,,,,,,,,,,,,,,,,,,,,,,
Sample origin,Indicates whether a sample is indigenous or introduced to the area where it was collected,,,,,,,,,,,,,,,,,,,,,,,,
Sampling method,Indicates how the collected material were sampled.,,,,,,,,,,,,,,,,,,,,,,,,
Seed production,Seed production,,,,,,,,,,,,,,,,,,,,,,,,
Shading,Refers to the amount of exposure to the sun of the plant where sample was collected.,,,,,,,,,,,,,,,,,,,,,,,,
Site,Topographical condition of a specific area where sample was collected.,,,,,,,,,,,,,,,,,,,,,,,,
Soil texture,"Relative proportions of sand, silt and clay in a sample.",,,,,,,,,,,,,,,,,,,,,,,,
Species diversity,Approximate number of species in the collection site,,,,,,,,,,,,,,,,,,,,,,,,
Status of sample,Type of germplasm collected,,,,,,,,,,,,,,,,,,,,,,,,
Topography,Configuration of a surface including its relief and the position of its natural and man-made features,,,,,,,,,,,,,,,,,,,,,,,,
Type of sample,Plant parts collected.,,,,,,,,,,,,,,,,,,,,,,,,
Varietal sample,Describes the composition of the variety collected.,,,,,,,,,,,,,,,,,,,,,,,,
Brown plant hopper - biotype 1,Greenhouse test. Mass screening using standard seed box technique. Both cultivated & wild species are evaluated.,,,,,,,,,,,,,,,,,,,,,,,,
Brown plant hopper - biotype 2,Greenhouse test. Mass screening using standard seed box technique. Both cultivated & wild species are evaluated.,,,,,,,,,,,,,,,,,,,,,,,,
Brown plant hopper - biotype 3,Mass screening (greenhouse test) using standard seed box technique. Both cultivated & wild species are evaluated.,,,,,,,,,,,,,,,,,,,,,,,,
Green leafhopper,Mass screening (greenhouse test) using standard seed box technique. Both cultivated & wild species are evaluated.,,,,,,,,,,,,,,,,,,,,,,,,
Rice leaf folder,Causal agent : Cnaphalocrosis medinalis % leaf area damage. Both cultivated & wild species are evaluated.,,,,,,,,,,,,,,,,,,,,,,,,
Rice whorl maggot,Field screening based on number of leaves damaged. Both cultivated & wild species are evaluated.,,,,,,,,,,,,,,,,,,,,,,,,
Striped stemborer,Screen house screening. Artificial infestation at 1 larva per tiller using 40 - 45 day old plants. Both cultivated & wild species are evaluated.,,,,,,,,,,,,,,,,,,,,,,,,
Yellow stemborer,Artificial infestation at 1 larva per tiller using 40-45 day old plants. Both cultivated & wild species are evaluated.,,,,,,,,,,,,,,,,,,,,,,,,
White-backed plant hopper,Mass screening (greenhouse test) using standard seed box technique. Both cultivated & wild species are evaluated.,,,,,,,,,,,,,,,,,,,,,,,,
Zigzag leafhopper,Mass screening (greenhouse test) using standard seed box technique. Both cultivated & wild species are evaluated.,,,,,,,,,,,,,,,,,,,,,,,,
Bacterial Blight,Field testing on % lesion area. Both cultivated & wild species are evaluated.,,,,,,,,,,,,,,,,,,,,,,,,
Blast,Causal agent : Magnaporthe grisea (Pyricularia oryzae). Actual estimation of blast affected leaf area (%). Screening is done in nursery.,,,,,,,,,,,,,,,,,,,,,,,,
Rice tungro virus severity score,Greenhouse mass screening score based on % infection. Both cultivated & wild species are evaluated.,,,,,,,,,,,,,,,,,,,,,,,,
Sheath Blight,Causal agent : Thanatephorus cucumeris (Rhizoctonia solani)% relative lesion height. Both cultivated & wild species are evaluated.,,,,,,,,,,,,,,,,,,,,,,,,
Alkali tolerance,Greenhouse screening using artificial alkali soil at 4 weeks after transplanting.,,,,,,,,,,,,,,,,,,,,,,,,
Cold tolerance,Screening for cold tolerance at seedling stage in cold water tanks (12 C).,,,,,,,,,,,,,,,,,,,,,,,,
Drought 1,Seedling vigor. Taken at 15 days after sowing in upland culture.,,,,,,,,,,,,,,,,,,,,,,,,
Drought 2,Rate of recovery after the 1st stress. Taken 1 or 2 days after rewatering.,,,,,,,,,,,,,,,,,,,,,,,,
Drought 3,Rate of recovery after the 2nd stress. Taken 1 or 2 days after rewatering.,,,,,,,,,,,,,,,,,,,,,,,,
Drought 4,"Drought resistance score at early vegetative stage(Phase I). Phase I refers to the active tillering stage of both the early & late-maturing varieties, and ranges from 50 to 60 days after seeding.",,,,,,,,,,,,,,,,,,,,,,,,
Drought 5,Drought resistance score at late vegetative stage(Phase II). Phase II applies only to the late-maturing varieties at about 80-100 days after seeding.,,,,,,,,,,,,,,,,,,,,,,,,
Drought 6,Drought resistance score at reproductive stage. Taken 12-15 days after start of stress.,,,,,,,,,,,,,,,,,,,,,,,,
Drought 7,Drought tolerance score at 3-4 bars. Taken at least 2 rainless weeks and/or with soil moisture at 3-4 bars.,,,,,,,,,,,,,,,,,,,,,,,,
Drought 8,Drought tolerance score at 9-10 bars. Taken at least 2 rainless week and/or with soil moisture at 9-10 bars.,,,,,,,,,,,,,,,,,,,,,,,,
Drought 9,Rate of recovery after exposure to 2nd drought. Scores are taken after 10 days following soaking rain or watering,,,,,,,,,,,,,,,,,,,,,,,,
Elongation,Screening for elongation rate of 6 week old rice plant at 100 cm water depth.,,,,,,,,,,,,,,,,,,,,,,,,
Flood tolerance,Greenhouse screening on submergence at seedling stage.,,,,,,,,,,,,,,,,,,,,,,,,
Salt tolerance,Greenhouse screening using artificial saline soil at 4 weeks after transplanting.,,,,,,,,,,,,,,,,,,,,,,,,
Zinc deficiency 1,Field screening on Zinc deficient field of transplanted rice. Scoring at 4 & 6 weeks after transplanting.,,,,,,,,,,,,,,,,,,,,,,,,
Zinc deficiency 2,Greenhouse screening on zinc-deficient soil of transplanted rice. Scoring at 4 & 6 weeks after transplanted,,,,,,,,,,,,,,,,,,,,,,,,
Amylose content (%),Amylose content in percentage milled rice dry basis using standard laboratory procedure,,,,,,,,,,,,,,,,,,,,,,,,
Brown rice protein content (%)- dry season crops,Brown rice protein in percent total brown rice (at 14% moisture) by Kjeldall analysis. Dry season crops.,,,,,,,,,,,,,,,,,,,,,,,,
Brown rice protein content (%)- wet season crops,Brown rice protein in percent total brown rice (at 14% moisture) by Kjeldall analysis. Wet season crops.,,,,,,,,,,,,,,,,,,,,,,,,
Gelatinization temperature,Actual alkali digestion score as an indicator of gelatinization temperature using standard laboratory procedure.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
